Ohio,Sherrod Brown,https://twitter.com/SenSherrodBrown,,SenSherrodBrown,c
Ohio,Rob Portman,https://twitter.com/robportman,,robportman,c
Oklahoma,Jim Inhofe,https://twitter.com/jiminhofe,,jiminhofe,c
Oklahoma,Tom Coburn,https://twitter.com/TomCoburn,,TomCoburn,c
Oregon,Ron Wyden,https://twitter.com/RonWyden,,RonWyden,c
Oregon,Jeff Merkley,https://twitter.com/SenJeffMerkley,,SenJeffMerkley,c
Pennsylvania,"Bob Casey, Jr.",https://twitter.com/Bob_Casey,,Bob_Casey,c
Pennsylvania,Pat Toomey,https://twitter.com/SenToomey,,SenToomey,c
Rhode Island,Jack Reed,https://twitter.com/SenJackReed,,SenJackReed,c
Rhode Island,Sheldon Whitehouse,https://twitter.com/SenWhitehouse,,SenWhitehouse,c
South Carolina,Lindsey Graham,https://twitter.com/LindseyGrahamSC,,LindseyGrahamSC,c
South Carolina,Tim Scott,https://twitter.com/SenatorTimScott,,SenatorTimScott,c
South Dakota,Tim Johnson,https://twitter.com/SenJohnsonSD,,SenJohnsonSD,c
South Dakota,John Thune,https://twitter.com/SenJohnThune,,SenJohnThune,c
Tennessee,Lamar Alexander,https://twitter.com/SenAlexander,,SenAlexander,c
Tennessee,Bob Corker,https://twitter.com/SenBobCorker,,SenBobCorker,c
Texas,John Cornyn,https://twitter.com/JohnCornyn,,JohnCornyn,c
Texas,Ted Cruz,https://twitter.com/tedcruz,,tedcruz,c
Utah,Orrin Hatch,https://twitter.com/OrrinHatch,,OrrinHatch,c
Utah,Mike Lee,https://twitter.com/SenMikeLee,,SenMikeLee,c
Vermont,Patrick Leahy,https://twitter.com/SenatorLeahy,,SenatorLeahy,c
Vermont,Bernie Sanders,https://twitter.com/SenSanders,,SenSanders,c
Virginia,Mark Warner,https://twitter.com/MarkWarner,,MarkWarner,c
Virginia,Tim Kaine,https://twitter.com/timkaine,,timkaine,c
Washington,Patty Murray,https://twitter.com/PattyMurray,,PattyMurray,
Washington,Maria Cantwell,https://twitter.com/CantwellPress,,CantwellPress,
West Virginia,Jay Rockefeller,https://twitter.com/SenRockefeller,,SenRockefeller,c
West Virginia,Joe Manchin,https://twitter.com/Sen_JoeManchin,,Sen_JoeManchin,c
Wisconsin,Ron Johnson,https://twitter.com/SenRonJohnson,,SenRonJohnson,
Wisconsin,Tammy Baldwin,https://twitter.com/tammybaldwin,,tammybaldwin,c
Wyoming,Mike Enzi,https://twitter.com/SenatorEnzi,,SenatorEnzi,c
Wyoming,John Barrasso,https://twitter.com/SenJohnBarrasso,,SenJohnBarrasso,c
